10:55:37.560 INFO     	get_bindings_<HyperSuperCombination>={'key': 35, 'mods': []} Key: <Key_H> Mod: < >
10:55:37.560 INFO     	get_bindings_<SelectTarget>={'key': 20, 'mods': []} Key: <Key_T> Mod: < >
10:55:37.560 INFO     	get_bindings_<DeployHeatSink>={'key': 47, 'mods': []} Key: <Key_V> Mod: < >
10:55:37.560 INFO     	get_bindings_<UIFocus>={'key': 64, 'mods': []} Key: <Key_F6> Mod: < >
10:55:37.560 INFO     	get_bindings_<UI_Up>={'key': 200, 'mods': []} Key: <Key_UpArrow> Mod: < >
10:55:37.561 INFO     	get_bindings_<UI_Down>={'key': 208, 'mods': []} Key: <Key_DownArrow> Mod: < >
10:55:37.561 INFO     	get_bindings_<UI_Left>={'key': 203, 'mods': []} Key: <Key_LeftArrow> Mod: < >
10:55:37.580 INFO     	get_bindings_<UI_Right>={'key': 205, 'mods': []} Key: <Key_RightArrow> Mod: < >
10:55:37.589 INFO     	get_bindings_<UI_Select>={'key': 28, 'mods': []} Key: <Key_Enter> Mod: < >
10:55:37.597 INFO     	get_bindings_<UI_Back>={'key': 12, 'mods': []} Key: <Key_Minus> Mod: < >
10:55:37.605 INFO     	get_bindings_<CycleNextPanel>={'key': 18, 'mods': []} Key: <Key_E> Mod: < >
10:55:37.605 INFO     	get_bindings_<HeadLookReset>={'key': 67, 'mods': []} Key: <Key_F9> Mod: < >
10:55:37.605 INFO     	get_bindings_<PrimaryFire>={'key': 2, 'mods': [29]} Key: <Key_1> Mod: <Key_LeftControl>
10:55:37.605 INFO     	get_bindings_<SecondaryFire>={'key': 3, 'mods': [29]} Key: <Key_2> Mod: <Key_LeftControl>
10:55:37.605 INFO     	get_bindings_<ExplorationFSSEnter>={'key': 40, 'mods': []} Key: <Key_Apostrophe> Mod: < >
10:55:37.605 INFO     	get_bindings_<ExplorationFSSQuit>={'key': 14, 'mods': []} Key: <Key_Backspace> Mod: < >
10:55:37.606 INFO     	get_bindings_<MouseReset>={'key': 76, 'mods': []} Key: <Key_Numpad_5> Mod: < >
10:55:37.606 INFO     	get_bindings_<DeployHardpointToggle>={'key': 22, 'mods': []} Key: <Key_U> Mod: < >
10:55:37.606 INFO     	get_bindings_<IncreaseEnginesPower>={'key': 6, 'mods': []} Key: <Key_5> Mod: < >
